REGIONAL_OFFICE_NAME,PRACTICE_CODE
Midlands,M88013
South West,L83663
North East and Yorkshire,B85025
South West,L83044
North East and Yorkshire,A83034
North West,P83009
North West,Y02622
London,G85642
North East and Yorkshire,A83007
North West,N85648
London,G83013
South West,J81620
South East,G82098
South East,J82051
East of England,F81099
Midlands,M91637
South West,L84029
North West,P81704
East of England,F81132
North West,P85028
East of England,D82080
North West,P81115
Midlands,M85732
South East,J82646
South East,J82084
South East,K84058
Midlands,M91034
London,E85058
North West,N83015
East of England,F81746
North West,N84020
Midlands,M83725
North East and Yorkshire,C87616
East of England,F81683
North West,P84035
North West,P91017
South West,L82036
South East,H82020
London,F84050
London,H85077
North West,Y03079
North West,Y02319
North West,Y02790
North West,P92605
North West,N84015
Midlands,M85781
South East,G82120
North East and Yorkshire,A81030
East of England,D81026
South East,G82711
South West,L82010
Midlands,M89008
East of England,D83033
South East,K84025
East of England,Y00486
East of England,D81055
South West,L82058
North West,N81034
East of England,D82604
Midlands,C83014
South East,J82625
London,F85043
North West,P91013
London,F85676
London,F85066
East of England,D81041
Midlands,M85041
South East,K82066
Midlands,C83054
Midlands,M85671
North West,N82078
North West,N82077
South West,L83045
South West,Y02633
North East and Yorkshire,A83635
South East,G82031
North West,P84024
Midlands,Y02686
North East and Yorkshire,B83041
South West,J83013
South East,J82169
Midlands,M91628
Midlands,M91659
Midlands,M91014
Midlands,K83049
North West,P88031
North East and Yorkshire,B83032
North West,P82033
North East and Yorkshire,B83051
South West,J83030
South West,L81649
North West,P92008
South West,L83012
South East,G82218
Midlands,C81075
North West,P92002
South West,L83128
South East,J82058
Midlands,C84112
North West,P88016
North West,P88015
North East and Yorkshire,B86673
East of England,E81064
London,H83052
North East and Yorkshire,B86104
London,E84049
North East and Yorkshire,A82012
North East and Yorkshire,A84047
East of England,Y00774
South West,L83073
South West,L82011
Midlands,C83029
Midlands,C83078
Midlands,C83626
North West,P88044
Midlands,M86038
Midlands,M81007
South West,L85601
London,E84031
London,E85735
London,E85605
Midlands,M83703
East of England,Y07057
South East,G82089
Midlands,M83009
North West,P81748
East of England,E82019
North East and Yorkshire,A83009
Midlands,M84014
London,Y03135
London,H85045
North East and Yorkshire,A87023
South East,H82047
North West,N84023
East of England,D83011
East of England,D81037
Midlands,C82026
East of England,D82015
Midlands,M83042
South West,L81007
North East and Yorkshire,A89019
North West,A82009
South East,J82152
South East,G81012
East of England,E82013
Midlands,C84092
Midlands,M82004
North West,P81053
Midlands,C84077
North East and Yorkshire,B84007
South East,Y02676
London,H83017
North West,P88043
Midlands,M83601
North East and Yorkshire,C87009
London,G85025
London,H84018
Midlands,Y06792
South East,Y02476
Midlands,C82651
South West,Y02578
London,E85715
South East,K84075
South East,G82796
South East,H82046
Midlands,Y00471
Midlands,M91619
North West,P81086
South East,G81669
London,H85048
London,G85137
South East,H81068
South West,L84084
North West,N81632
London,Y06345
London,G84024
North West,P82643
London,E87746
London,F83059
London,E85020
South East,J82213
South East,J82216
Midlands,C81653
Midlands,K83048
Midlands,M83094
North East and Yorkshire,B82088
London,F83052
North West,N81014
East of England,Y02900
North West,P84061
Midlands,C81052
North West,P92023
North East and Yorkshire,B85014
South East,K81047
Midlands,M84616
North West,N81096
North East and Yorkshire,C87012
Midlands,C82072
London,H83030
Midlands,M86029
North East and Yorkshire,C88028
London,G84019
Midlands,M82051
North East and Yorkshire,A81013
North East and Yorkshire,Y07275
South East,H82084
Midlands,M82024
North East and Yorkshire,A83617
North West,P81155
North West,N82617
North West,N82117
North West,N82076
North West,N82645
Midlands,Y06218
London,F85028
East of England,D82032
London,E86030
South West,L83013
South West,L84071
London,F83048
London,G85726
London,E83621
London,E85091
London,H84015
North East and Yorkshire,A86033
South West,L85032
South East,G82631
North West,P92034
North West,Y02378
South West,Y01845
North East and Yorkshire,C88011
East of England,D81045
South West,L83070
South East,G82700
South West,L83666
Midlands,M85113
North West,Y02466
Midlands,M84069
South West,L83011
South West,L83113
Midlands,K83070
Midlands,M84061
North West,N81006
East of England,D83034
South West,J83601
Midlands,M85701
South East,K81102
South East,K84047
South East,J82001
North East and Yorkshire,C85017
North East and Yorkshire,B86069
East of England,D83008
South East,K81638
North East and Yorkshire,A84024
North East and Yorkshire,B81085
North West,A82071
London,G83065
North East and Yorkshire,C88048
South East,K82033
South West,L85016
East of England,D82072
East of England,F81126
North West,P81020
London,Y00206
North West,P81137
North West,P82025
London,G85027
Midlands,Y02414
North West,P81138
London,G83046
North East and Yorkshire,B86030
East of England,E82023
East of England,D81051
Midlands,C82013
East of England,E81048
South West,L85066
South East,G81102
Midlands,C81065
Midlands,K83031
North East and Yorkshire,A83075
South West,L81130
East of England,E81069
South West,L83097
Midlands,C83613
North East and Yorkshire,A82014
North East and Yorkshire,Y02572
North East and Yorkshire,B85004
North East and Yorkshire,Y02645
Midlands,C81649
North West,N82633
South West,L84060
South East,H81082
Midlands,M82026
East of England,Y00056
North East and Yorkshire,B81022
Midlands,M83624
North East and Yorkshire,A81051
London,Y02674
Midlands,Y04969
East of England,D82057
North East and Yorkshire,B81104
Midlands,C82111
South East,J82069
London,Y02906
London,H84010
South West,J81013
South West,L85018
South East,G82802
South East,G82228
Midlands,M81032
Midlands,M88006
South East,H81109
North West,A82025
East of England,F81026
South East,G81014
East of England,D83050
North West,Y02625
London,E86618
South East,G81048
North West,P88013
North East and Yorkshire,B84618
North East and Yorkshire,A82016
Midlands,M83026
London,E85024
North East and Yorkshire,A83031
South West,L82041
South West,L82061
London,F84749
North East and Yorkshire,C88082
South East,K82044
London,H85032
North East and Yorkshire,C88016
North West,A82647
Midlands,C83044
London,E85025
Midlands,C82007
South West,L83105
North East and Yorkshire,Y02669
Midlands,C84605
Midlands,C82075
Midlands,M87620
Midlands,M84013
Midlands,C82014
East of England,E81013
South East,G82653
East of England,D82011
South West,L83052
South West,J83014
Midlands,C81638
Midlands,M92008
Midlands,M83024
North West,N81019
North East and Yorkshire,B87025
North East and Yorkshire,A82021
North East and Yorkshire,A82028
North West,P86009
London,F86642
North East and Yorkshire,A89036
South East,H81045
East of England,Y00185
South East,H82042
South West,L83146
London,Y02811
Midlands,M81084
North East and Yorkshire,B82023
East of England,E81030
Midlands,M88620
North West,N81028
London,E87745
North West,N85017
Midlands,M85642
London,F83022
Midlands,C83020
London,E86029
North West,N83609
North East and Yorkshire,B81113
London,E86014
North East and Yorkshire,A83038
Midlands,M87605
North East and Yorkshire,B82045
North East and Yorkshire,A85019
North East and Yorkshire,B82038
East of England,D81631
London,H85070
Midlands,M86028
East of England,K82065
North West,N85027
London,F82016
North West,P81117
North East and Yorkshire,A88013
East of England,E82100
London,H84030
Midlands,M84023
North West,N83027
East of England,F81086
London,E86015
South East,J82026
South West,J81053
North East and Yorkshire,A83050
North West,P85011
South West,L82015
North West,P85004
Midlands,M81090
North West,P88017
Midlands,M83637
London,F86028
North East and Yorkshire,A81011
South West,L83082
North East and Yorkshire,A85010
London,F85682
South East,K84008
London,E84033
Midlands,M84615
South West,L83120
Midlands,M84005
North West,P87649
North West,N84006
South East,Y00265
South East,K81103
Midlands,C81068
Midlands,M87628
East of England,F81104
South East,G81061
North West,Y04925
North East and Yorkshire,C88010
North East and Yorkshire,B87020
North East and Yorkshire,B86108
South East,G82094
Midlands,M85679
North West,Y02325
South West,L81015
North West,P82625
South East,J82025
London,F85017
Midlands,M82007
North East and Yorkshire,C88032
Midlands,C82041
Midlands,C82097
South East,G81034
London,Y01132
South East,J82180
London,F82630
Midlands,M84063
North East and Yorkshire,A83036
London,H85047
South East,K81026
Midlands,C81067
Midlands,Y04882
South East,J82075
South East,J82136
North West,P88007
North West,P88020
London,H85105
London,H85063
South West,L85011
North West,P84046
North West,N81069
East of England,F81122
East of England,F81665
London,G84020
South West,L83118
London,E85023
South West,L83098
East of England,D81025
North West,P87630
North East and Yorkshire,B85655
South East,K82029
South East,H81033
London,F85640
London,H85021
London,H84050
North East and Yorkshire,A89623
London,E85059
East of England,D82006
North East and Yorkshire,A83055
North East and Yorkshire,B86032
South East,J82062
South West,L81072
London,E84674
South East,H81022
East of England,F81062
South West,L83111
South West,L83148
South East,K82020
Midlands,C84120
South East,J82218
London,Y01291
South West,L84043
South East,K84030
South West,L84051
London,E85625
London,E85075
London,E85130
London,E85030
South East,H81015
London,F83615
North East and Yorkshire,A85024
East of England,E82064
North West,P84068
London,F82045
London,F85061
South West,J81056
North West,N84013
North East and Yorkshire,B82059
London,E84013
East of England,D82046
Midlands,M85013
South East,G82007
North East and Yorkshire,B81064
North East and Yorkshire,B82032
North East and Yorkshire,B84011
London,E84067
East of England,F81014
East of England,F81078
South East,G82652
North West,N85633
London,E86034
Midlands,M85048
Midlands,M85697
East of England,E82067
South East,H81073
South East,K84033
South West,L84023
South West,L85007
Midlands,M82008
South West,L85624
East of England,F81125
South West,L83064
Midlands,M88030
Midlands,C83062
South West,L84047
Midlands,C84034
Midlands,M81070
London,F86627
London,H84027
Midlands,M82025
Midlands,C84020
North West,N84017
South West,L84018
Midlands,M85711
North West,Y02849
North East and Yorkshire,B81074
London,F83064
Midlands,M85684
London,F84114
North East and Yorkshire,B86002
North West,N81082
South East,G82051
North West,N85006
East of England,F81681
London,G85011
London,H85088
London,G85109
East of England,D83076
Midlands,M82034
London,F84097
South East,K81020
London,F86708
London,H84619
South West,L83056
South East,K81074
Midlands,M84017
North East and Yorkshire,B83628
North West,P89012
North West,P87634
East of England,D81011
Midlands,M83125
Midlands,C81056
Midlands,M86041
London,F86691
East of England,F81006
North East and Yorkshire,A83011
South West,L82051
North West,P81180
North East and Yorkshire,B85021
North East and Yorkshire,B81015
South West,L84036
North West,P87613
Midlands,M87034
Midlands,M82041
London,F83624
South West,L81040
Midlands,C83018
North West,P81073
Midlands,C83073
London,E85071
London,E85696
South East,J82079
North East and Yorkshire,A83040
South East,K84034
North East and Yorkshire,B81054
Midlands,M88630
North East and Yorkshire,C87017
Midlands,C84046
London,G85026
Midlands,M84020
Midlands,M82017
South West,L83673
London,E85680
South West,L81050
North East and Yorkshire,Y05349
North East and Yorkshire,C88069
London,Y03296
North East and Yorkshire,C88084
South East,H82098
Midlands,M92006
South East,J82007
East of England,D82058
East of England,K82057
South East,H81067
Midlands,M83127
London,F85016
North West,N81637
Midlands,M85086
South East,K84618
North West,N83610
East of England,F81042
South West,L84069
South West,L83095
London,E83637
Midlands,M85029
North East and Yorkshire,B87003
Midlands,M85087
Midlands,C81097
South West,L83092
South West,L85021
London,H85649
North East and Yorkshire,A88016
North East and Yorkshire,B86010
Midlands,C84045
South East,G81077
Midlands,M91032
North East and Yorkshire,A87004
East of England,F81635
East of England,F81116
North West,P81035
North East and Yorkshire,B85054
London,E83034
East of England,E82113
Midlands,C83053
East of England,D82062
London,E87067
Midlands,M81076
South West,L83096
South West,L81065
East of England,D81035
East of England,D83079
North West,N85009
East of England,F81206
Midlands,C82643
South West,Y02873
South West,L83055
North West,Y05788
North West,N84038
South West,L81019
North East and Yorkshire,A89022
North East and Yorkshire,C86024
North East and Yorkshire,C86625
South West,L81036
London,E87037
East of England,F81061
North West,P84040
North East and Yorkshire,A83018
East of England,D83001
East of England,E82020
North East and Yorkshire,B86103
East of England,E81063
London,G83633
North West,P91035
North East and Yorkshire,B85619
South East,K81042
South East,H82014
North West,P81033
Midlands,M86046
North East and Yorkshire,A84022
Midlands,M81091
North East and Yorkshire,A84018
South East,K81607
North East and Yorkshire,B81663
South West,J81612
North West,P84669
South West,L83103
North West,P84041
North West,P87639
East of England,D81052
North West,P82627
South East,J82150
North West,N83025
London,G84018
South East,H82076
East of England,D81012
Midlands,M81055
North West,P84043
South West,Y00049
London,E83013
Midlands,M87021
Midlands,C82107
Midlands,M85792
South West,L84038
Midlands,C81615
East of England,D81602
Midlands,M85680
North East and Yorkshire,A81058
Midlands,C82002
London,Y05317
Midlands,K83056
Midlands,M82616
North East and Yorkshire,A82631
South East,G82203
South West,L81024
South West,J83619
London,E87045
Midlands,M86624
Midlands,M85699
Midlands,M89021
South East,J84015
South East,H82004
South East,K84063
North East and Yorkshire,A83027
Midlands,M81616
Midlands,M81617
Midlands,M81600
Midlands,C81096
North East and Yorkshire,A84025
South West,Y04662
London,F86698
London,H84630
Midlands,M85097
South East,J82055
London,E85052
London,F82674
London,F82006
South West,L85025
South East,H81052
Midlands,M82046
North East and Yorkshire,B86017
North East and Yorkshire,A85014
London,E87070
London,F86044
London,G83642
Midlands,C81030
South West,L85609
East of England,F81115
South West,J81634
London,G84630
South East,K82603
Midlands,Y04977
South West,L85004
Midlands,C81094
Midlands,K83053
London,H85038
South West,L83051
South West,J83609
London,Y02986
East of England,F81015
South West,L83027
North East and Yorkshire,B85614
Midlands,M84015
Midlands,M89012
North West,P86014
North East and Yorkshire,B87028
East of England,D82004
London,E87052
North West,P82607
East of England,E82079
South East,J82628
North East and Yorkshire,C88079
South East,K84056
South East,K81034
North West,N84026
North East and Yorkshire,Y04266
London,H84039
South West,J81075
Midlands,M87025
North East and Yorkshire,A81019
London,E85114
North West,N84627
London,F85069
South East,H81042
North East and Yorkshire,A85009
South East,J82144
Midlands,C84035
South West,L85006
Midlands,M83117
North East and Yorkshire,C87030
London,E85019
Midlands,M83092
South East,K81656
North East and Yorkshire,A86017
North East and Yorkshire,C88648
Midlands,M84029
South East,H82005
East of England,E82081
North West,N81059
South West,L84027
Midlands,M83020
North West,N81062
North West,N84005
London,F84047
East of England,D83035
Midlands,M83093
North West,P82010
London,F83633
North West,N81097
North East and Yorkshire,A82022
North West,A82039
North East and Yorkshire,B85010
North East and Yorkshire,B82021
North West,P84690
North West,N81087
London,H85067
Midlands,K83610
Midlands,K83015
South East,H81029
Midlands,M91026
Midlands,Y00278
South East,G82006
South East,G82185
North East and Yorkshire,C85614
North West,P81051
North West,P81140
Midlands,M83617
South East,G82064
South East,K81021
Midlands,M81069
East of England,E82077
North West,Y05750
North West,P84066
North West,P91009
Midlands,M82009
Midlands,C84066
London,F84072
Midlands,C82020
East of England,F81215
South West,L83021
North West,P82660
North West,P82030
North West,P87625
North East and Yorkshire,Y00411
North East and Yorkshire,B85002
East of England,D83041
South East,K84055
North East and Yorkshire,C88074
Midlands,C84044
North East and Yorkshire,A89001
North West,P91018
East of England,F81219
North East and Yorkshire,B81097
Midlands,M81627
North East and Yorkshire,C86616
South East,K82055
South West,J81625
London,Y05318
North East and Yorkshire,A83047
South East,J82119
North West,P89018
North East and Yorkshire,A86013
North East and Yorkshire,A86601
Midlands,K83068
London,G85736
London,G85711
Midlands,C81118
North West,N82093
South East,H81051
South East,J82149
Midlands,C84039
East of England,F81669
London,G84005
London,E83037
Midlands,C81652
North East and Yorkshire,B82025
Midlands,C81014
South East,K82017
Midlands,C82650
North West,N85015
South East,G82088
South West,L83046
South West,L83624
North East and Yorkshire,C88076
London,F82621
South West,L85022
North West,P84026
South East,K84002
North West,P84678
North West,P81711
North East and Yorkshire,Y00184
North West,N83014
North West,N82033
North East and Yorkshire,C87002
Midlands,C82103
North East and Yorkshire,A82023
London,G85031
South West,L84046
London,F84656
North East and Yorkshire,B82029
Midlands,M88635
East of England,E82092
South East,H82044
North East and Yorkshire,C86023
North West,P89016
South East,K84004
Midlands,M82012
Midlands,M84007
South East,H81028
London,E85682
Midlands,M89010
East of England,F81173
Midlands,C81018
North West,N82003
North East and Yorkshire,C88087
East of England,F81704
London,G85057
Midlands,C82030
South East,H81088
South East,G81004
South East,G82809
Midlands,M85717
South West,J83043
London,F85628
London,F86040
North East and Yorkshire,B83621
North West,P81136
North West,N82067
North West,P86614
North West,P81735
London,F82677
East of England,F81085
North East and Yorkshire,B81108
East of England,E81046
London,F82650
Midlands,K83618
East of England,F81113
North East and Yorkshire,B81100
North West,P92006
North East and Yorkshire,B82030
North West,P81685
Midlands,M91641
Midlands,C82052
North East and Yorkshire,B81012
Midlands,M88619
London,Y03664
Midlands,C82084
East of England,F81207
North West,P81166
London,F82025
London,E85048
East of England,E81061
North East and Yorkshire,B84008
North West,P84611
London,F84660
London,G85708
London,G83033
North West,P87648
North West,P81701
East of England,F81029
East of England,F81177
East of England,F81697
Midlands,M88646
London,F86086
Midlands,M83108
London,F82679
East of England,E81076
North East and Yorkshire,B86678
East of England,F81003
South East,K82024
North East and Yorkshire,B86003
Midlands,C82671
East of England,F81025
North East and Yorkshire,B83653
North East and Yorkshire,B81616
Midlands,M88014
London,F82610
North West,P86002
North West,Y00912
North East and Yorkshire,B85611
Midlands,M83616
East of England,E81001
North East and Yorkshire,B83622
Midlands,M83079
North East and Yorkshire,B81040
North West,P81731
North East and Yorkshire,B86028
East of England,E81003
East of England,Y00758
North West,N82646
East of England,F81001
North West,P84637
Midlands,M83113
Midlands,M85716
North West,P92042
London,F82678
East of England,F81046
Midlands,M83096
Midlands,M85686
Midlands,K83614
East of England,F81613
East of England,F81031
North West,P82629
London,F82003
London,F82005
North West,N83030
North West,N83608
North East and Yorkshire,B85650
North West,P82006
East of England,F81223
Midlands,M83109
London,F82663
North West,P86619
London,F85666
North East and Yorkshire,B81666
Midlands,C82644
London,E86629
London,F86621
Midlands,M92649
East of England,F81045
North East and Yorkshire,B86005
South East,K81608
Midlands,M91024
East of England,F81158
East of England,F81147
South West,J81648
Midlands,C82050
Midlands,C82032
Midlands,K83625
North East and Yorkshire,B81642
London,F82039
Midlands,M83103
Midlands,M83100
London,F82027
North East and Yorkshire,B81697
Midlands,Y00399
East of England,E81617
East of England,F81007
North West,Y00347
London,F82647
Midlands,C82659
North West,N83624
North East and Yorkshire,C87031
North East and Yorkshire,A81602
London,E85659
Midlands,M83084
London,G85013
North East and Yorkshire,B86642
North East and Yorkshire,B86094
South East,H81131
London,F86006
Midlands,C82620
East of England,Y03052
London,F82031
North West,P92030
London,F83678
London,F86626
East of England,F81666
East of England,Y00469
Midlands,M88628
Midlands,C83049
Midlands,M92013
London,E85083
Midlands,Y00252
Midlands,M85065
East of England,D83073
East of England,F81092
London,E83668
Midlands,K83037
Midlands,M92039
Midlands,K83607
London,F82038
London,F84741
North East and Yorkshire,B86075
North East and Yorkshire,A88009
North West,P92004
Midlands,C82114
Midlands,M88626
London,E85624
North West,P92646
North West,P92635
London,F82033
Midlands,M85128
Midlands,C81022
East of England,E81010
East of England,F81211
East of England,F81632
East of England,D82029
Midlands,C81025
North West,Y02663
North West,P84047
North West,N81031
North West,P84032
North East and Yorkshire,A83073
East of England,E81612
North East and Yorkshire,B81631
North East and Yorkshire,B81069
Midlands,M83138
East of England,F81649
Midlands,M85706
Midlands,M85136
South West,L84024
Midlands,K83039
North West,A82651
Midlands,Y02212
North East and Yorkshire,C88030
North West,A82007
North West,P89021
Midlands,M92012
Midlands,M84046
North East and Yorkshire,A83030
Midlands,M83090
North West,N82662
South West,L85065
North East and Yorkshire,C86611
North West,P86019
North East and Yorkshire,C88045
North East and Yorkshire,B82053
London,G84002
East of England,D82042
London,F84121
London,F84739
London,F85004
North East and Yorkshire,A81039
London,E85657
North West,N82065
Midlands,K83601
